session_name,title,full_url
2005 Regular Session,House Bill 2061 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2061.a.pdf
2005 Regular Session,House Bill 2061 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2061.en.pdf
2005 Regular Session,House Bill 2061 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2061.1ha.pdf
2005 Regular Session,House Bill 2061 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2061.intro.pdf
2005 Regular Session,House Bill 2062 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2062.a.pdf
2005 Regular Session,House Bill 2062 - B-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2062.b.pdf
2005 Regular Session,House Bill 2062 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2062.en.pdf
2005 Regular Session,House Bill 2062 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2062.1ha.pdf
2005 Regular Session,House Bill 2062 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2062.intro.pdf
2005 Regular Session,House Bill 2062 - Senate Amendments to A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2062.a1sa.pdf
2005 Regular Session,House Bill 2063 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2063.en.pdf
2005 Regular Session,House Bill 2063 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2063.intro.pdf
2005 Regular Session,House Bill 2064 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2064.en.pdf
2005 Regular Session,House Bill 2064 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2064.intro.pdf
2005 Regular Session,House Bill 2065 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2065.a.pdf
2005 Regular Session,House Bill 2065 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2065.en.pdf
2005 Regular Session,House Bill 2065 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2065.1ha.pdf
2005 Regular Session,House Bill 2065 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2065.intro.pdf
2005 Regular Session,House Bill 2066 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2066.intro.pdf
2005 Regular Session,House Bill 2067 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2067.en.pdf
2005 Regular Session,House Bill 2067 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2067.intro.pdf
2005 Regular Session,House Bill 2068 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2068.a.pdf
2005 Regular Session,House Bill 2068 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2068.en.pdf
2005 Regular Session,House Bill 2068 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2068.1ha.pdf
2005 Regular Session,House Bill 2068 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2068.intro.pdf
2005 Regular Session,House Bill 2069 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2069.a.pdf
2005 Regular Session,House Bill 2069 - B-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2069.b.pdf
2005 Regular Session,House Bill 2069 - Conference Committee Amendments to B-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2069.bcca.pdf
2005 Regular Session,House Bill 2069 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2069.en.pdf
2005 Regular Session,House Bill 2069 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2069.1ha.pdf
2005 Regular Session,House Bill 2069 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2069.intro.pdf
2005 Regular Session,House Bill 2069 - Senate Amendments to A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2069.a1sa.pdf
2005 Regular Session,House Bill 2070 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2070.a.pdf
2005 Regular Session,House Bill 2070 - B-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2070.b.pdf
2005 Regular Session,House Bill 2070 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2070.1ha.pdf
